,Lake ID,Lake Name,Lake County,Nearest Town,Lake Coordinates,Lake Area,Littoral Area,Lake Depth,Mean Depth,Water Access Sites
3183,31005700,Sherry,Itasca,Side Lake,"[-93.170092, 47.631282]",0.0,0.0,0.0,0.0,['was00153']
3184,31052900,Shine,Itasca,Craigville,"[-93.486723, 47.877905]",73.79,47.0,45.0,0.0,[]
3185,31014100,Shoal,Itasca,Nashwauk,"[-93.249926, 47.473375]",265.68,114.0,77.0,0.0,['was02086']
3186,31053400,Shoal,Itasca,Cohasset,"[-93.570088, 47.301719]",675.85,662.98,7.0,0.0,[]
3187,31090700,Sioux,Itasca,Squaw Lake,"[-94.256651, 47.589179]",71.07,46.0,34.0,0.0,[]
3188,31055400,Siseebakwet,Itasca,Grand Rapids,"[-93.670456, 47.156623]",1209.97,292.0,105.0,0.0,['was00426']
3189,31073600,Skelly,Itasca,Days High Landing,"[-93.748648, 47.154322]",70.13,0.0,35.0,0.0,[]
3190,31093900,Skimerhorn,Itasca,Rosy,"[-94.41369, 47.676772]",0.0,0.0,0.0,0.0,[]
3191,31050200,Slauson,Itasca,Marcell,"[-93.561489, 47.633401]",105.55,46.0,40.0,0.0,[]
3192,31054700,Smith,Itasca,Hill City,"[-93.584968, 47.104982]",43.24,36.0,25.0,0.0,['was02119']
3193,31065000,Smith,Itasca,Marcell,"[-93.62196, 47.547632]",208.54,87.0,32.0,12.0,[]
3194,31025500,Snaptail,Itasca,Taconite,"[-93.376114, 47.469156]",174.55,57.0,70.0,0.0,['was00611']
3195,31010800,Snowball,Itasca,Calumet,"[-93.239312, 47.335251]",145.08,43.2,38.0,0.0,['was00427']
3196,31043400,Snowshoe,Itasca,Alder,"[-93.548413, 47.498795]",0.0,0.0,0.0,0.0,[]
3197,31027600,Someman,Itasca,Nashwauk,"[-93.326323, 47.567035]",31.91,31.91,13.0,0.0,[]
3198,31079500,South Ackerman,Itasca,Spring Lake (Itasca),"[-93.848078, 47.640986]",22.13,0.0,0.0,0.0,[]
3199,31013500,South Fork,Itasca,Nashwauk,"[-93.234473, 47.51076]",63.48,26.0,22.0,0.0,[]
3200,31061700,South Smith,Itasca,Alder,"[-93.610817, 47.53425]",0.0,0.0,0.0,0.0,[]
3201,31000300,South Sturgeon,Itasca,Chisholm,"[-93.063704, 47.637059]",204.44,45.0,43.0,0.0,['was00137']
3202,31019100,South Twin,Itasca,Marble,"[-93.321931, 47.298528]",140.78,63.0,40.0,0.0,[]
3203,31053800,Spider,Itasca,Marcell,"[-93.57732, 47.490963]",1392.46,737.0,36.0,0.0,['was00409']
3204,31035300,Split Hand,Itasca,Grand Rapids,"[-93.48628, 47.059595]",1373.73,510.7,34.0,0.0,['was00433']
3205,31006500,Spring,Itasca,Togo,"[-93.182901, 47.759603]",0.0,0.0,0.0,0.0,[]
3206,31040500,Spring,Itasca,Canisteo,"[-93.548359, 47.379148]",39.41,0.0,60.0,0.0,['was00416']
3207,31078900,Spring,Itasca,Spring Lake (Itasca),"[-93.867175, 47.650291]",131.95,50.0,36.0,0.0,[]
3208,31084900,Spruce,Itasca,Wirt,"[-93.978009, 47.76709]",0.0,0.0,0.0,0.0,[]
3209,31071800,Stevens,Itasca,Zemple,"[-93.703731, 47.330218]",0.0,0.0,0.0,0.0,[]
3210,31005100,Stingy,Itasca,Nashwauk,"[-93.114295, 47.597186]",361.28,207.0,25.0,0.0,['was00598']
3211,31082800,Stone Axe,Itasca,Oslund,"[-93.999483, 47.654523]",0.0,0.0,0.0,0.0,[]
3212,69093900,Sturgeon,St. Louis,,"[0, 0]",0.0,0.0,0.0,0.0,['was00149']
3213,31031200,Sucker,Itasca,Effie,"[-93.396897, 47.800297]",36.88,20.0,61.0,0.0,['was02947']
3214,31092600,Sugar,Itasca,Cass Lake,"[-94.309309, 47.451688]",1509.04,1268.0,22.0,0.0,[]
3215,31086600,Sunken,Itasca,Squaw Lake,"[-94.099849, 47.539669]",45.06,17.0,35.0,0.0,[]
3216,31043700,Sunrise,Itasca,Alder,"[-93.518363, 47.487999]",27.41,0.0,20.0,0.0,[]
3217,31072400,Suomi,Itasca,Suomi,"[-93.709411, 47.484596]",0.0,0.0,0.0,0.0,[]
3218,31064600,Surprise,Itasca,Suomi,"[-93.63879, 47.471103]",11.42,6.0,31.0,0.0,[]
3219,31006700,Swan,Itasca,Pengilly,"[-93.185126, 47.303716]",2455.54,507.2,65.0,0.0,['was00431']
3220,31018800,Tank,Itasca,Togo,"[-93.306193, 47.831097]",0.0,0.0,0.0,0.0,[]
3221,31012200,Third Sucker,Itasca,Cort,"[-93.276902, 47.402054]",0.0,0.0,0.0,0.0,[]
3222,31014500,Thirty,Itasca,Nashwauk,"[-93.307375, 47.474429]",120.68,120.68,14.0,0.0,[]
3223,31014600,Thirty One,Itasca,Nashwauk,"[-93.316268, 47.470199]",0.0,0.0,0.0,0.0,[]
3224,31015800,Thistledew,Itasca,Togo,"[-93.244804, 47.791415]",325.91,73.0,45.0,0.0,['was02088']
3225,31045100,Three Island,Itasca,Marcell,"[-93.515456, 47.545922]",68.14,26.0,28.0,0.0,[]
3226,31054200,Three Island,Itasca,Marcell,"[-93.57814, 47.583419]",250.26,66.0,66.0,0.0,[]
3227,31094600,Tioga Mine Pit,Itasca,Cohasset,"[-93.615661, 47.223341]",49.32,1.0,225.0,0.0,['was03030']
3228,31092400,Tower,Itasca,Pennington,"[-94.409712, 47.47613]",0.0,0.0,0.0,0.0,[]
3229,31012700,Trestle,Itasca,Nashwauk,"[-93.308696, 47.456716]",87.56,0.0,48.0,0.0,[]
3230,31080300,Trestle,Itasca,Talmoon,"[-93.843959, 47.720944]",111.26,32.0,35.0,0.0,['was02118']
3231,31021600,Trout,Itasca,Coleraine,"[-93.404869, 47.260129]",1862.08,438.0,135.0,0.0,"['was00610', 'was00424', 'was00436']"
3232,31041000,Trout,Itasca,Grand Rapids,"[-93.554612, 47.461962]",1743.41,386.0,157.0,0.0,[]
3233,31072500,Turtle,Itasca,Marcell,"[-93.711711, 47.627438]",2125.63,556.0,137.0,0.0,['was00621']
3234,31005400,Twenty Four,Itasca,Side Lake,"[-93.074941, 47.577768]",0.0,0.0,0.0,0.0,[]
3235,31002600,Twin,Itasca,Goodland,"[-93.163828, 47.241387]",146.99,73.3,35.0,0.0,['was00429']
3236,31076900,Twin,Itasca,Talmoon,"[-93.762144, 47.668453]",0.0,0.0,0.0,0.0,[]
3237,31082300,Two Mile,Itasca,Inger,"[-94.007831, 47.528046]",0.0,0.0,0.0,0.0,[]
3238,31009800,Unnamed,Itasca,Pengilly,"[0, 0]",11.39,5.0,29.0,0.0,[]
3239,31050400,Unnamed,Itasca,Bigfork,"[0, 0]",19.4,14.0,31.0,0.0,[]
3240,31051000,Unnamed,Itasca,Bigfork,"[0, 0]",21.09,0.0,60.0,0.0,[]
3241,31055500,South Sugar,Itasca,Grand Rapids,"[-93.68213, 47.145321]",82.72,30.0,36.0,0.0,[]
3242,31087900,Unnamed,Itasca,Dora Lake,"[0, 0]",0.0,0.0,0.0,0.0,[]
3243,31088100,Unnamed,Itasca,Oslund,"[0, 0]",0.0,0.0,0.0,0.0,[]
3244,31034600,Upper Hanson,Itasca,Taconite,"[-93.451333, 47.468119]",131.18,26.0,35.0,0.0,[]
3245,31011100,Upper Panasa,Itasca,Calumet,"[-93.265553, 47.310021]",147.77,147.77,13.0,0.0,['was02122']
3246,31090800,Upper Pigeon,Itasca,Squaw Lake,"[-94.175495, 47.590289]",0.0,0.0,0.0,0.0,[]
3247,31041100,Upper Spring,Itasca,Grand Rapids,"[-93.572629, 47.456162]",18.38,9.0,20.0,0.0,[]
3248,31090600,Virgin,Itasca,Squaw Lake,"[-94.196412, 47.615007]",60.54,41.0,22.0,0.0,[]
3249,31039200,Wabana,Itasca,Grand Rapids,"[-93.524075, 47.425575]",2221.18,785.0,115.0,0.0,"['was00430', 'was02126']"
3250,31091200,Wagner,Itasca,Bergville,"[-94.20401, 47.760705]",72.63,24.0,60.0,0.0,[]
3251,31029800,Walters,Itasca,Bigfork,"[-93.3699, 47.667753]",127.34,102.0,19.0,0.0,[]
3252,31007100,Wamp,Itasca,Bear River,"[-93.191333, 47.701931]",0.0,0.0,0.0,0.0,[]
3253,31085900,Wart,Itasca,Squaw Lake,"[-94.146982, 47.576654]",0.0,0.0,0.0,0.0,[]
3254,31028100,Wasson,Itasca,Taconite,"[-93.345192, 47.626555]",438.35,208.0,67.0,0.0,[]
3255,31091500,Welch,Itasca,Bergville,"[-94.18963, 47.809879]",0.0,0.0,0.0,0.0,[]
3256,31004000,West,Itasca,Stevenson,"[-93.093018, 47.536112]",76.16,54.0,25.0,0.0,[]
