species,fish_count,maximum_length,minimum_length,survey_ID,survey_date
BLG,"[[3, 8], [4, 4], [5, 7], [6, 14], [7, 3], [8, 10], [9, 13]]",9,3,14271516841281003,2015-07-06
BLG,"[[0, 39], [1, 1584], [4, 1], [5, 3], [6, 14], [7, 13], [8, 12], [9, 1]]",9,1,18442021738606000,2020-09-28
BLB,"[[10, 3], [11, 1], [14, 1], [9, 1]]",14,9,18442021738606000,2020-09-28
BRB,"[[14, 2], [15, 6], [16, 9]]",16,14,18442021738606000,2020-09-28
LMB,"[[0, 1], [2, 10], [3, 14], [4, 8], [5, 2]]",5,2,18442021738606000,2020-09-28
NOP,"[[15, 1], [20, 2], [22, 1], [23, 2], [24, 1], [25, 1], [26, 2], [29, 1]]",29,15,18442021738606000,2020-09-28
SHR,"[[18, 2]]",18,18,18442021738606000,2020-09-28
YEP,"[[10, 70], [11, 32], [12, 5], [5, 199], [6, 478], [7, 311], [8, 307], [9, 300], [1, 129], [2, 1287], [3, 180]]",12,1,18442021738606000,2020-09-28
WHB,"[[10, 1], [11, 5], [12, 2], [13, 3], [14, 18], [15, 8], [16, 2], [4, 1], [5, 3], [6, 15], [7, 5], [3, 9], [4, 193]]",16,3,18442021738606000,2020-09-28
FRD,"[[10, 2], [11, 3], [13, 3], [15, 1], [17, 1], [5, 65], [6, 42], [7, 1]]",17,5,18442021738606000,2020-09-28
BIB,"[[6, 2], [7, 1]]",7,6,18442021738606000,2020-09-28
BLC,"[[2, 15], [3, 2], [10, 5], [11, 1], [4, 13], [6, 1], [7, 10], [9, 1]]",11,2,18442021738606000,2020-09-28
YEB,"[[10, 7], [11, 2], [12, 1], [9, 2]]",12,9,18442021738606000,2020-09-28
WTS,"[[10, 2], [11, 2], [14, 3], [15, 3], [16, 3], [17, 6], [18, 2]]",18,10,18442021738606000,2020-09-28
WAE,"[[5, 1], [8, 2], [9, 3], [12, 1], [13, 9], [14, 8], [16, 10], [17, 8], [18, 16], [19, 8], [20, 12], [21, 8], [22, 2], [23, 3], [24, 1], [26, 1]]",26,5,18442021738606000,2020-09-28
LKS,"[[14, 1], [17, 2], [18, 3], [22, 1], [23, 3], [25, 4], [26, 1], [28, 3], [29, 2], [30, 2], [31, 1], [33, 1], [34, 1], [36, 2], [38, 1]]",38,14,18442021738606000,2020-09-28
QBS,"[[14, 1], [17, 1]]",17,14,18442021738606000,2020-09-28
YEB,"[[10, 2], [12, 3], [13, 5], [14, 9], [18, 1], [9, 1]]",18,9,117519,1994-06-06
WTS,"[[10, 4], [11, 3], [12, 4], [13, 1], [14, 8], [15, 13], [16, 11], [17, 27], [18, 29], [19, 10], [20, 5], [6, 1], [8, 1], [9, 1]]",20,6,117519,1994-06-06
GLR,"[[15, 1], [16, 1], [18, 1], [20, 1]]",20,15,117519,1994-06-06
QBS,"[[15, 1], [16, 2], [19, 1], [20, 1]]",20,15,117519,1994-06-06
HSF,"[[9, 1]]",9,9,117519,1994-06-06
WAE,"[[10, 47], [11, 57], [12, 169], [13, 281], [14, 111], [15, 18], [16, 4], [17, 8], [18, 8], [19, 4], [20, 3], [21, 2], [22, 2], [23, 1], [24, 2], [28, 1], [5, 1], [6, 5], [7, 19], [8, 10], [9, 14]]",28,5,117519,1994-06-06
BLB,"[[13, 4], [14, 5], [15, 1], [16, 1]]",16,13,117519,1994-06-06
BRB,"[[15, 1]]",15,15,117519,1994-06-06
TPM,"[[3, 1], [4, 3]]",4,3,117519,1994-06-06
BLG,"[[3, 1], [5, 1], [6, 1], [7, 9], [8, 3], [9, 2]]",9,3,117519,1994-06-06
CCF,"[[27, 1]]",27,27,117519,1994-06-06
BIB,"[[18, 1], [19, 1], [29, 1]]",29,18,117519,1994-06-06
BLC,"[[3, 1], [4, 5]]",4,3,117519,1994-06-06
YEP,"[[10, 348], [11, 79], [12, 32], [13, 5], [5, 20], [6, 157], [7, 496], [8, 119], [9, 174]]",13,5,117519,1994-06-06
RKB,"[[7, 6], [8, 1]]",8,7,117519,1994-06-06
FRD,"[[10, 2], [11, 5], [13, 1], [17, 1], [18, 4], [19, 3], [20, 1], [21, 4], [26, 1], [27, 1], [4, 8], [5, 435], [6, 420], [7, 45]]",27,4,117519,1994-06-06
