lake_id,lake_name,lake_county,nearest_town,lake_area,littoral_area,lake_depth,mean_depth,water_access_sites,lake_longitude,lake_latitude
01021100,Coon,Aitkin,Aitkin,0.0,0.0,0.0,0.0,[],-93.774928,46.6487
01005600,Cutaway,Aitkin,Balsam,112.73,70.0,24.0,11.0,['was02703'],-93.207453,46.86229
01009600,Dam,Aitkin,Aitkin,597.66,256.0,48.0,19.0,['was01612'],-93.464423,46.510396
01007100,Davis,Aitkin,,0.0,0.0,0.0,0.0,[],0.0,0.0
01008600,Deer,Aitkin,Malmo,0.0,0.0,0.0,0.0,[],-93.510179,46.336785
01017100,Diamond,Aitkin,Aitkin,81.86,53.0,26.0,11.0,[],-93.693139,46.465838
01018500,Dogfish,Aitkin,Aitkin,34.59,9.0,85.0,0.0,[],-93.762404,46.519418
01000900,Douglas,Aitkin,Tamarack,77.83,44.0,39.0,14.0,[],-93.090076,46.628101
01017500,Dummer,Aitkin,Bennettville,30.91,27.0,33.0,0.0,[],-93.766636,46.448361
01000400,Dutch,Aitkin,Lawler,0.0,0.0,0.0,0.0,[],-93.137194,46.550461
01021300,Edna,Aitkin,Mae,0.0,0.0,0.0,0.0,[],-93.770633,46.846806
01012300,Elm Island,Aitkin,Aitkin,519.52,389.0,25.0,9.0,['was01611'],-93.627358,46.45837
01014700,Esquagamah,Aitkin,Palisade,842.04,520.0,31.0,13.0,['was02733'],-93.693558,46.738233
01015900,Farm Island,Aitkin,Bennettville,2005.19,883.0,56.0,0.0,"['was01096', 'was01610']",-93.773497,46.422892
01010500,Fleming,Aitkin,Palisade,318.83,314.48,15.0,6.0,['was02704'],-93.499138,46.630207
01006100,Flowage,Aitkin,Minnewawa,0.0,0.0,0.0,0.0,['was02011'],-93.32697,46.695844
01016200,Four,Aitkin,Aitkin,36.6,0.0,0.0,0.0,[],-93.752887,46.491318
01010400,French,Aitkin,Palisade,149.26,61.0,37.0,0.0,['was01603'],-93.545585,46.623919
01004200,Glacier,Aitkin,Balsam,134.98,59.0,60.0,0.0,[],-93.222325,46.791015
01015800,Gregg,Aitkin,Bennettville,32.36,24.0,18.0,0.0,[],-93.734808,46.361191
01009900,Gun,Aitkin,Palisade,711.9,292.0,44.0,18.0,['was01604'],-93.52495,46.645143
01016100,Hammal,Aitkin,Aitkin,375.52,261.8,44.0,10.5,['was01607'],-93.74433,46.48355
01017000,Hanging Kettle,Aitkin,Aitkin,317.97,142.0,35.0,16.0,['was02735'],-93.703641,46.47228
01013200,Hanson,Aitkin,Aitkin,143.28,88.0,42.0,0.0,['was02737'],-93.6368,46.515463
01005900,Hay,Aitkin,Jacobson,128.88,57.0,32.0,14.0,['was01606'],-93.212099,46.954814
01017900,Hickory,Aitkin,Aitkin,211.58,111.0,32.0,0.0,['was03033'],-93.732167,46.439305
01014200,Hill,Aitkin,Hill City,794.01,354.0,48.0,21.8,"['was01600', 'was01601']",-93.59044,47.002347
01016800,Hill,Aitkin,Aitkin,27.43,16.0,67.0,0.0,[],-93.763978,46.475065
01020100,Holy Water,Aitkin,Shovel Lake,93.89,35.0,56.0,0.0,[],-93.750184,47.023093
01003400,Horseshoe,Aitkin,Tamarack,240.06,240.06,12.0,7.0,[],-93.209801,46.716526
01015400,Horseshoe,Aitkin,Bennettville,54.27,36.0,26.0,11.0,[],-93.764834,46.398991
01002200,Island,Aitkin,Tamarack,243.67,194.0,25.0,0.0,[],-93.190162,46.733855
01010000,Jenkins,Aitkin,Palisade,114.07,38.8,38.0,18.0,[],-93.480582,46.650065
01009400,Johnson,Aitkin,Glen,0.0,0.0,0.0,0.0,[],-93.5422,46.440668
01013100,Johnson,Aitkin,Rossburg,0.0,0.0,0.0,0.0,[],-93.641466,46.527334
01008800,Lily,Aitkin,Thor,0.0,0.0,0.0,0.0,[],-93.482403,46.500196
01005700,Little Ball Bluff,Aitkin,Jacobson,37.25,12.0,49.0,0.0,['was01036'],-93.276142,46.93818
01004800,Little Blackface,Aitkin,Ball Bluff,0.0,0.0,0.0,0.0,[],-93.245391,46.920028
01019700,Little McKinney,Aitkin,Swatara,15.54,15.54,9.0,0.0,[],-93.729999,46.884192
01017600,Little Pine,Aitkin,Aitkin,226.3,103.0,44.0,0.0,['was01043'],-93.747041,46.442926
01001600,Little Prairie,Aitkin,Balsam,0.0,0.0,0.0,0.0,[],-93.104662,46.815805
01012500,Lone,Aitkin,Aitkin,433.49,148.0,60.0,0.0,['was01046'],-93.65795,46.442024
01008900,Long,Aitkin,Glen,434.72,120.0,116.0,30.0,['was01047'],-93.489755,46.487024
