Lake ID,Lake Name,Lake County,Nearest Town,Lake Coordinates,Lake Area,Littoral Area,Lake Depth,Mean Depth,Water Access Sites
11048300,Swamp,Cass,Wilkinson,"[-94.644498, 47.214425]",600.34,494.0,36.0,0.0,[]
11071200,Swede,Cass,Chickamaw Beach,"[-94.365875, 46.769188]",0.0,0.0,0.0,0.0,[]
11013300,Swift,Cass,Remer,"[-94.082995, 47.095959]",356.59,187.0,52.0,14.0,[]
11024600,Sylvan,Cass,Backus,"[-94.375628, 46.844977]",112.85,62.9,26.0,0.0,[]
11030400,Sylvan,Cass,Pillager,"[-94.400667, 46.36461]",894.03,367.0,57.0,0.0,['was00623']
49003600,Sylvan,Morrison,Sylvan,"[-94.385892, 46.311067]",321.49,190.97,31.0,0.0,[]
11037300,Sylvester,Cass,Hackensack,"[-94.480531, 46.949999]",0.0,0.0,0.0,0.0,[]
11018900,Tamarack,Cass,Longville,"[-94.176392, 46.981943]",0.0,0.0,0.0,0.0,[]
11024100,Tamarack,Cass,Pontoria,"[-94.314663, 46.86144]",0.0,0.0,0.0,0.0,[]
11086600,Unnamed,Cass,Longville,"[0, 0]",12.75,5.1,43.0,0.0,[]
11031200,Teepee,Cass,Whipholt,"[-94.407166, 47.005365]",20.92,14.37,31.0,9.0,[]
11046700,Ten,Cass,Walker,"[-94.640111, 47.048236]",25.71,0.0,29.0,0.0,[]
11041300,Ten Mile,Cass,Hackensack,"[-94.572571, 46.97075]",5080.43,1316.0,208.0,52.4,['was02339']
11002000,Thiebault,Cass,Remer,"[-93.824908, 47.021211]",21.09,21.09,19.0,8.0,[]
11046400,Third,Cass,Walker,"[-94.608337, 47.060297]",33.1,0.0,34.0,0.0,[]
11048800,Thirteen,Cass,Cass Lake,"[-94.549751, 47.291643]",554.52,329.0,50.0,0.0,['was00391']
11047000,Thirty-Four,Cass,Ah-gwah-ching,"[-94.615507, 47.050941]",0.0,0.0,0.0,0.0,[]
11017700,Three Island,Cass,Longville,"[-94.272551, 47.038583]",287.9,287.89,13.0,0.0,['was02023']
11006200,Thunder,Cass,Remer,"[-93.975076, 46.948277]",1346.88,226.0,95.0,37.0,['was01860']
11009400,Tidd,Cass,Elevenmile Corner,"[-93.959405, 47.146863]",45.98,12.0,75.0,0.0,['was00627']
11013200,Tobique,Cass,Tobique,"[-94.039286, 47.12168]",0.0,0.0,0.0,0.0,[]
11019000,Town Line,Cass,Longville,"[-94.205026, 47.06844]",697.67,697.67,11.0,0.0,['was00629']
11027000,Trillium,Cass,Hackensack,"[-94.388081, 46.932021]",155.46,91.0,48.0,0.0,[]
11046100,Tripp,Cass,Hackensack,"[-94.631241, 46.909145]",29.3,0.0,0.0,0.0,[]
11040100,Turtle,Cass,Walker,"[-94.496312, 47.063003]",74.83,0.0,23.0,0.0,[]
11011700,Twenty-Six,Cass,Outing,"[-94.064418, 46.918807]",108.68,108.68,12.0,0.0,[]
11012300,Twin,Cass,Inguadona,"[-94.055848, 47.026795]",0.0,0.0,0.0,0.0,[]
11048400,Twin,Cass,Cass Lake,"[-94.559036, 47.314695]",168.76,168.76,5.0,0.0,['was00393']
11024300,Two,Cass,Pine River,"[-94.325506, 46.854309]",45.36,41.7,25.0,0.0,[]
11035900,Island,Cass,Backus,"[-94.509706, 46.853735]",0.0,0.0,0.0,0.0,[]
11041400,Gould,Cass,Baker (Cass),"[-94.533515, 47.130512]",0.0,0.0,0.0,0.0,[]
11043500,Unnamed,Cass,Poplar,"[0, 0]",0.0,0.0,0.0,0.0,[]
11052100,Unnamed,Cass,Ah-gwah-ching,"[0, 0]",0.0,0.0,0.0,0.0,[]
11065400,Unnamed,Cass,Esterdy,"[0, 0]",0.0,0.0,0.0,0.0,[]
11076800,Unnamed,Cass,Outing,"[0, 0]",0.0,0.0,0.0,0.0,[]
11079800,Unnamed,Cass,Brevik,"[0, 0]",0.0,0.0,0.0,0.0,[]
11085200,Unnamed,Cass,Whipholt,"[0, 0]",0.0,0.0,0.0,0.0,[]
11021800,Upper Gull,Cass,Nisswa,"[-94.344776, 46.523929]",421.83,154.0,54.0,0.0,[]
11009700,Upper Menton,Cass,Elevenmile Corner,"[-93.959838, 47.168799]",0.0,0.0,0.0,0.0,[]
11008100,Upper Milton,Cass,Elevenmile Corner,"[-93.935704, 47.137267]",24.33,19.0,35.0,0.0,[]
11031600,Upper Sucker,Cass,Cass Lake,"[-94.41967, 47.36081]",112.96,44.6,25.0,0.0,[]
11010500,Upper Trelipe,Cass,Longville,"[-94.035164, 46.976]",421.43,143.0,69.0,0.0,['was02273']
11046300,Variety,Cass,Hackensack,"[-94.616227, 46.897341]",159.71,62.7,29.0,18.0,[]
11002900,Vermillion,Cass,Elevenmile Corner,"[-93.865943, 47.177192]",410.36,230.0,27.0,0.0,['was02341']
11017100,Wabedo,Cass,Longville,"[-94.2195, 46.908208]",1226.41,295.0,95.0,0.0,['was00859']
11040300,Wabegon,Cass,Baker (Cass),"[-94.487055, 47.095807]",0.0,0.0,0.0,0.0,[]
11005900,Washburn,Cass,Outing,"[-93.987981, 46.870148]",1590.2,748.0,111.0,0.0,['was00863']
11028800,Wawa,Cass,Whipholt,"[-94.346837, 47.033308]",0.0,0.0,0.0,0.0,[]
11012400,Wax,Cass,Inguadona,"[-94.042822, 47.019106]",0.0,0.0,0.0,0.0,[]
11031100,Webb,Cass,Hackensack,"[-94.413855, 46.955808]",720.03,277.8,84.0,20.9,['was02276']
11046200,Wegwos,Cass,Chamberlain,"[-94.642965, 46.90396]",0.0,0.0,0.0,0.0,[]
11049300,Welch,Cass,Cass Lake,"[-94.560227, 47.255989]",194.97,78.0,59.0,0.0,['was02021']
11012500,West Twin,Cass,Inguadona,"[-94.071646, 47.029517]",0.0,0.0,0.0,0.0,[]
11001600,White Oak,Cass,Mae,"[-93.880995, 46.898332]",0.0,0.0,0.0,0.0,[]
31077600,White Oak,Itasca,Zemple,"[-93.78488, 47.31078]",0.0,0.0,0.0,0.0,['was02089']
11027300,Widow,Cass,Longville,"[-94.332616, 46.919549]",197.5,74.0,46.0,0.0,['was00395']
11056400,Willard,Cass,Backus,"[-94.459748, 46.856874]",8.21,4.1,39.0,0.0,[]
11050200,Crystal,Cass,Akeley,"[-94.655014, 46.940076]",190.2,163.0,40.0,0.0,['was01864']
11009300,Wilson,Cass,Remer,"[-93.92347, 47.091624]",83.7,83.7,13.0,0.0,[]
11001000,Windy,Cass,Shovel Lake,"[-93.797744, 46.949414]",95.13,71.0,29.0,0.0,[]
11014700,Winnibigoshish,Cass,Bena,"[-94.187427, 47.450784]",56471.63,18904.0,69.8,15.1,"['was00968', 'was00969', 'was02461', 'was01088', 'was01092', 'was02128']"
11020100,Woman,Cass,Longville,"[-94.287235, 46.958859]",5519.67,1953.0,54.0,0.0,"['was00866', 'was00394']"
18022200,Wood,Crow Wing,Outing,"[-94.020291, 46.802275]",91.81,36.0,38.0,17.0,[]
11005600,Woods,Cass,Outing,"[-93.99864, 46.815721]",0.0,0.0,0.0,0.0,[]
12005000,Unnamed,Chippewa,Montevideo,"[0, 0]",0.0,0.0,0.0,0.0,[]
37004600,Lac qui Parle,Lac Qui Parle,Milan,"[0, 0]",5740.76,5740.74,15.0,0.0,"['was01024', 'was01054', 'was01055', 'was01056', 'was00701', 'was00703', 'was00704', 'was02314', 'was00705']"
12003000,Shakopee,Chippewa,Louriston,"[-95.486172, 45.138764]",0.0,0.0,0.0,0.0,[]
12002800,Unnamed,Chippewa,,"[0, 0]",0.0,0.0,0.0,0.0,[]
12006100,Unnamed,Chippewa,Wegdahl,"[0, 0]",0.0,0.0,0.0,0.0,[]
13005100,Ashton,Chisago,Wyoming,"[-92.985224, 45.326179]",0.0,0.0,0.0,0.0,[]
13004200,Birch,Chisago,Bonnie Glen,"[-92.897629, 45.300381]",0.0,0.0,0.0,0.0,[]
13006300,Chain,Chisago,,"[0, 0]",0.0,0.0,0.0,0.0,[]
13006301,Chain (North Portion),Chisago,Harris,"[-93.00337, 45.552875]",0.0,0.0,0.0,0.0,[]
13006302,Chain (South Portion),Chisago,North Branch,"[-93.006759, 45.539346]",0.0,0.0,0.0,0.0,[]
13001200,Chisago,Chisago,Chisago City,"[-92.87196, 45.360649]",943.96,694.5,34.0,0.0,[]
13005300,Comfort,Chisago,Wyoming,"[-92.947545, 45.321179]",217.82,90.0,47.0,21.0,['was01696']
13004700,Ellen,Chisago,,"[-92.905788, 45.366037]",0.0,0.0,0.0,0.0,[]
13004600,Emily,Chisago,,"[-92.912307, 45.361573]",0.0,0.0,0.0,0.0,[]
13006800,Fish,Chisago,Harris,"[-93.035067, 45.580581]",318.82,141.0,57.0,16.0,['was01715']
13002200,Fourth,Chisago,Bonnie Glen,"[-92.859615, 45.309992]",0.0,0.0,0.0,0.0,[]
13008300,Goose,Chisago,Stark (Chisago),"[-93.078774, 45.632164]",719.43,370.0,55.0,15.0,['was02801']
13004100,Green,Chisago,Chisago City,"[-92.903789, 45.345389]",1809.5,1228.0,32.0,9.0,"['was00879', 'was01714']"
13004101,Green (Little Green),Chisago,,"[-92.897929, 45.365456]",0.0,0.0,0.0,0.0,"['was00879', 'was01714']"
13004102,Green (Main Basin),Chisago,,"[-92.903801, 45.339866]",0.0,0.0,0.0,0.0,"['was00879', 'was01714']"
13005600,Heims,Chisago,Wyoming,"[-92.994312, 45.315255]",0.0,0.0,0.0,0.0,[]
13007300,Horseshoe,Chisago,Harris,"[-93.054555, 45.593995]",224.04,112.0,53.0,13.0,['was01730']
13007600,Jonason,Chisago,Stanley,"[-93.123273, 45.59104]",0.0,0.0,0.0,0.0,[]
30002000,Krans,Isanti,Grandy,"[-93.143933, 45.63167]",34.73,31.0,31.0,0.0,[]
13001300,Kroon,Chisago,Lindstrom,"[-92.844745, 45.356123]",193.19,150.0,30.0,5.0,['was02634']
13008800,Unnamed,Chisago,Rush Point,"[0, 0]",0.0,0.0,0.0,0.0,[]
13001400,Linn,Chisago,Lindstrom,"[-92.825125, 45.359046]",176.99,176.99,15.0,6.0,[]
13003300,Little,Chisago,Center City,"[-92.793847, 45.413146]",168.2,124.0,23.0,0.0,['was01220']
13005400,Little Comfort,Chisago,Wyoming,"[-92.93664, 45.312701]",37.03,16.0,56.0,0.0,[]
13008000,Little Horseshoe,Chisago,Stark (Chisago),"[-93.069072, 45.590645]",48.78,18.0,43.0,15.0,['was01219']
13007400,Mandall,Chisago,Stark (Chisago),"[-93.084973, 45.603977]",47.01,25.0,26.0,0.0,[]
13004000,Martha,Chisago,Chisago City,"[-92.895828, 45.373584]",0.0,0.0,0.0,0.0,[]
13004300,Mattson,Chisago,Chisago City,"[-92.894266, 45.394673]",0.0,0.0,0.0,0.0,[]
13002300,Moody,Chisago,Chisago City,"[-92.867057, 45.301261]",45.33,22.0,48.0,10.0,[]
13005902,Mud Lake,Chisago,Stacy,"[-92.969134, 45.403481]",0.0,0.0,0.0,0.0,"['was02203', 'was00300', 'was02180']"
13007200,Neander,Chisago,Harris,"[-93.048095, 45.626842]",56.65,48.0,17.0,0.0,[]
13003200,North Center,Chisago,,"[0, 0]",0.0,0.0,0.0,0.0,['was01221']
13003201,North Center Lake,Chisago,Center City,"[-92.829332, 45.409095]",749.26,608.0,46.0,7.0,['was01221']
13003500,North Lindstrom,Chisago,Lindstrom,"[-92.850734, 45.397319]",141.85,55.0,29.0,0.0,[]
13001100,Ogrens,Chisago,Marine on Saint Croix,"[-92.793224, 45.365156]",48.22,31.0,41.0,0.0,[]
13003400,Pioneer,Chisago,Center City,"[-92.819237, 45.402406]",77.31,77.31,8.0,0.0,[]
13007900,Rabour,Chisago,Stark (Chisago),"[-93.082295, 45.59742]",52.56,35.0,43.0,0.0,['was02956']
13008600,Unnamed,Chisago,Rush Point,"[0, 0]",0.0,0.0,0.0,0.0,[]
13006900,Rush,Chisago,,"[0, 0]",0.0,0.0,0.0,0.0,"['was00272', 'was02192']"
13004400,School,Chisago,Chisago City,"[-92.898685, 45.386216]",0.0,0.0,0.0,0.0,[]
13005700,School,Chisago,Forest Lake,"[-92.914378, 45.303517]",0.0,0.0,0.0,0.0,[]
13002500,Second,Chisago,Scandia,"[-92.835107, 45.302844]",0.0,0.0,0.0,0.0,[]
30002200,Skogman,Isanti,Cambridge,"[-93.153964, 45.573911]",228.06,134.8,36.0,10.6,['was00275']
13002700,South Center,Chisago,Lindstrom,"[-92.821692, 45.378645]",835.33,561.0,109.0,0.0,['was02201']
13002800,South Lindstrom,Chisago,Lindstrom,"[-92.855815, 45.383796]",454.68,208.3,34.0,17.3,['was00294']
13005901,South Sunrise Pool,Chisago,Stacy,"[-92.965833, 45.383555]",299.31,299.31,7.0,0.0,"['was02203', 'was00300', 'was02180']"
13001900,Spider,Chisago,Marine on Saint Croix,"[-92.82779, 45.323419]",130.69,122.49,9.0,0.0,['was00295']
13003100,Sunrise,Chisago,Lindstrom,"[-92.865025, 45.428481]",795.69,712.0,21.0,4.0,[]
13005900,Sunrise Pools,Chisago,Stacy,"[0, 0]",0.0,0.0,0.0,0.0,"['was02203', 'was00300', 'was02180']"
13001600,Swamp,Chisago,Marine on Saint Croix,"[-92.804516, 45.340295]",0.0,0.0,0.0,0.0,[]
13005800,Swamp,Chisago,Chisago City,"[0, 0]",0.0,0.0,0.0,0.0,[]
13002400,Third,Chisago,Scandia,"[-92.855344, 45.299819]",0.0,0.0,0.0,0.0,[]
