county,lake_id,other_info
Becker,03009000,Kneebone    
Becker,03000400,Knutson    
Becker,03041600,Kraut    
Becker,03054900,Larson    
Becker,03057500,Leif    
Becker,03057300,Lemon    
Becker,03064600,Lime    
Becker,03007000,Linbom    
Becker,03037600,Lind    
Becker,03033700,Little Bass    
Becker,03023400,Little Bemidji    
Becker,03061200,Little Boyer    
Becker,03050600,Little Cormorant    
Becker,03030000,Little Cotton    
Becker,03021700,Little Flat    
Becker,03038600,Little Floyd    
Becker,29031300,Little Mantrap    
Becker,03018800,Little Mud    
Becker,03024500,Little Rat O-Be-Good    
Becker,03023900,Little Rice    
Becker,03030200,Little Round    
Becker,03012500,Little Shell Unnamed    
Becker,03031300,Little Sugar Bush    
Becker,03018900,Little Toad    
Becker,03016300,Lizzy    
Becker,03024400,Long    
Becker,03038300,Detroit Lakes Long     
Becker,03065800,Long    
Becker,03028800,Loon    
Becker,03048900,Loon    
Becker,03021000,Lower Egg    
Becker,03062100,Lund Brothers
Becker,03007200,Macs Unnamed    
Becker,03009400,Mallard Unnamed    
Becker,03023500,Mallard    
Becker,03015800,Many Point    
Becker,03052600,Marshall    
Becker,03024300,Mary Yellowhead    
Becker,03050000,Maud    
Becker,03045800,McKenzie Unnamed    
Becker,03037100,Detroit Lakes Meadow      
Becker,03047500,Melissa    
Becker,03060200,Middle Cormorant    
Becker,03037700,Mill    
Becker,03053100,Minnetonka North
Becker,03008100,Mission    
Becker,03047100,Mission    
Becker,03008400,Missouri    
Becker,03047900,Moe    
Becker,03029400,Momb    
Becker,03035700,Monson    
Becker,03015200,Moore    
Becker,03004900,Morrison Spring    
Becker,03045900,Morrison    
Becker,03001600,Mud Sherman    
Becker,03002300,Mud Randeau    
Becker,03004700,Mud Unnamed    
Becker,03006700,Mud    
Becker,03011200,Mud    
Becker,03012000,Mud    
Becker,03013100,Mud    
Becker,03016200,Mud    
Becker,03018700,Mud    
Becker,03020300,Mud    
Becker,03031600,Mud    
Becker,03037000,Mud    
Becker,03040200,Detroit Lakes Mud      
Becker,03050400,Mud    
Becker,56022900,Murphy    
Becker,03036000,Detroit Lakes Muskrat     
Becker,03000200,Nancy Unnamed    
Becker,03059500,Nelson    
Becker,03033400,Net    
Becker,03028200,Neuner    
Becker,03052400,North Barnes    
Becker,03052000,North McKinstry    
Becker,03030100,North Momb North Mob    
Becker,03018000,North Twin    
Becker,03029500,North Twin    
Becker,03037200,Detroit Lakes Nottage      
Becker,03039200,Oak    
Becker,03039700,Oar    
Becker,03062300,Ode Ode Marsh    
Becker,03019100,Oelfke    
Becker,03063000,Olive    
Becker,03042800,O-Me-Mee    
Becker,03045300,Onion    
Becker,03063400,Orange    
Becker,03052200,Oriole    
Becker,03112200,Ox-Bow Unnamed; old
Becker,03054400,Ox-Bowl    
Becker,03046900,Parsnip    
Becker,03064400,Peach    
Becker,03024900,Pearce    
Becker,03048600,Pearl    
Becker,03040700,Pee    
Becker,03006300,Peninsula Unnamed    
Becker,03027300,Perch    
Becker,03028700,Pickeral Pickerel    
Becker,03005800,Pickerel    
Becker,15010800,Pickerel    
Becker,03053600,Pierce    
Becker,03013900,Pike    
Becker,03004100,Pine Unnamed    
Becker,03020000,Pine    
Becker,03031500,Pine Unnamed    
Becker,03056400,Plum Grove Unnamed    
Becker,03063700,Prestrude Unnamed    
Becker,03063200,Prune    
Becker,03066100,Pump    
Becker,03032200,Raspberry    
Becker,03055500,Rat    
Becker,03046400,Rat Farm Unnamed    
Becker,03051300,Reep    
Becker,03037400,Detroit Lakes Reeves Johnson      
Becker,03017300,Rice    
Becker,03020100,Rice    
Becker,03023700,Rice Unnamed    
Becker,03028500,Rice    
Becker,03029100,Rice    
Becker,03039400,Detroit Lakes Rice      
Becker,03014900,Rinker Unnamed    
Becker,03052700,Robin    
Becker,03029300,Rock    
Becker,03058700,Rossman    
Becker,03015500,Round    
Becker,03064000,Round    
Becker,03002500,Ruggs Wilkinson    
Becker,03021500,Rush    
Becker,03065300,Rustad    
Becker,03035900,Sallie    
Becker,03061800,Sand    
Becker,03065900,Sand    
Becker,03042000,Sands    
Becker,03035500,Sauer    
Becker,03017200,Schlehr    
Becker,03027800,Schultz    
Becker,03055000,Seabold    
Becker,03036500,Senical Senica    
Becker,03058300,Severson    
Becker,03010200,Shell    
Becker,03000500,Shipman    
Becker,03063900,Shoe    
Becker,03010800,Sieverson    
Becker,56036900,Six    
Becker,03052300,Skaeim    
Becker,03036800,Detroit Lakes Slough      
Becker,03002100,Small Amelia    
Becker,03011300,Sock Unnamed    
Becker,03009700,Sockeye    
Becker,03062500,Sorenson    
Becker,03052500,South Barnes    
Becker,03052900,South McKinstry    
Becker,03051200,South Reep    
Becker,03018200,South Twin    
Becker,03048500,Spear    
Becker,03045200,Spinach    
Becker,03021400,Spindler    
Becker,03045000,Spirit    
Becker,03029000,Spring    
Becker,03044000,Squash    
Becker,03038200,Detroit Lakes St. Clair      
Becker,03043000,St. Clair    
Becker,03027700,St. Patrick    
Becker,03063100,Stakke    
Becker,03017400,Stein    
Becker,03064700,Stinking    
Becker,03001000,Straight Centerville    
Becker,03032300,Strawberry    
Becker,03039900,Detroit Lakes Strunk      
Becker,03014700,Sucker Unnamed    
Becker,03014500,Sugar Bush Unnamed    
Becker,03061900,Talac Lee    
Becker,03024100,Tamarack    
Becker,03038800,Tamarack    
Becker,03015700,Tea Cracker    
Becker,03002400,Ten Acre Bald Eagle    
Becker,14000400,Tilde    
Becker,03010700,Toad    
Becker,03041000,Tovson    
Becker,03026400,Frazee Town     
Becker,03026300,Trieglaff    
Becker,03056200,Trotochaud    
Becker,03060400,Tub    
Becker,44000300,Tulaby    
Becker,03065700,Turtle    
Becker,03015400,Twentyfive Twenty-five    
Becker,03001800,Twin Baldwin    
Becker,03031100,Twin Unnamed    
Becker,03003300,Twin Island Unnamed    
Becker,03001700,Two Inlets Cedar    
Becker,03000300,Unnamed    
Becker,03001100,Unnamed Forsham    
Becker,03001300,Unnamed Reshanau    
Becker,03003400,Unnamed Unnamed    
Becker,03003700,Unnamed Unnamed    
Becker,03004000,Unnamed Smith    
Becker,03004600,Unnamed Unnamed    
Becker,03005100,Unnamed Laddie    
Becker,03006100,Unnamed    
Becker,03006400,Unnamed    
Becker,03006900,Unnamed    
Becker,03007300,Unnamed    
Becker,03007400,Unnamed    
Becker,03007500,Unnamed    
Becker,03007600,Unnamed    
Becker,03007700,Unnamed    
Becker,03007800,Unnamed    
Becker,03007900,Unnamed    
Becker,03008000,Unnamed    
Becker,03008300,Unnamed    
Becker,03008600,Unnamed Moulton    
Becker,03009100,Unnamed    
Becker,03009900,Unnamed    
Becker,03010900,Unnamed    
Becker,03011000,Unnamed    
Becker,03011100,Unnamed    
Becker,03011500,Unnamed    
Becker,03011700,Unnamed    
Becker,03011900,Unnamed    
Becker,03012900,Unnamed    
Becker,03013000,Unnamed    
Becker,03013700,Unnamed    
Becker,03014000,Unnamed    
Becker,03014300,Unnamed    
Becker,03014400,Unnamed    
Becker,03014600,Unnamed    
Becker,03016500,Unnamed    
Becker,03016800,Unnamed    
Becker,03017100,Unnamed    
Becker,03017500,Unnamed    
Becker,03017600,Unnamed    
Becker,03017900,Unnamed    
Becker,03018500,Unnamed    
Becker,03020700,Unnamed    
Becker,03021100,Unnamed    
Becker,03022700,Unnamed    
Becker,03025200,Unnamed    
Becker,03025300,Unnamed    
Becker,03025500,Unnamed    
Becker,03025600,Unnamed    
Becker,03026700,Unnamed    
Becker,03028000,Unnamed    
Becker,03028400,Unnamed    
Becker,03032700,Unnamed    
Becker,03033300,Unnamed    
Becker,03034400,Unnamed    
Becker,03034500,Unnamed    
Becker,03034700,Unnamed    
Becker,03034800,Unnamed    
Becker,03034900,Unnamed    
Becker,03035300,Unnamed    
Becker,03037800,Unnamed    
Becker,03037900,Unnamed    
Becker,03039600,Detroit Lakes Unnamed      
Becker,03040100,Unnamed    
Becker,03043100,Unnamed    
Becker,03043500,Unnamed    
Becker,03043600,Unnamed Kutz    
Becker,03043700,Unnamed    
Becker,03043800,Unnamed    
Becker,03044100,Unnamed    
Becker,03044500,Unnamed    
Becker,03045600,Unnamed    
Becker,03046000,Unnamed    
Becker,03046100,Unnamed    
Becker,03046300,Unnamed    
Becker,03046800,Unnamed    
Becker,03047200,Unnamed    
Becker,03050800,Unnamed    
Becker,03053700,Unnamed    
Becker,03054000,Unnamed    
Becker,03054800,Unnamed    
Becker,03055600,Unnamed    
Becker,03055700,Unnamed    
